,d,sales,tm_w_end,tm_dw,tm_wm,tm_m,tm_w,sell_price,snap_count,is_event,date
0,1,210.0,1,5,5,1,4,3.1596777,0,0,2011-01-29
1,2,169.0,1,6,5,1,4,3.1596777,0,0,2011-01-30
2,3,159.0,0,0,5,1,5,3.1596777,0,0,2011-01-31
3,4,107.0,0,1,1,2,5,3.1596777,2,0,2011-02-01
4,5,128.0,0,2,1,2,5,3.1596777,2,0,2011-02-02
5,6,185.0,0,3,1,2,5,3.1596777,3,0,2011-02-03
6,7,169.0,0,4,1,2,5,3.1596777,1,0,2011-02-04
7,8,193.0,1,5,1,2,5,3.1136053,3,0,2011-02-05
8,9,180.0,1,6,1,2,5,3.1136053,3,1,2011-02-06
9,10,176.0,0,0,1,2,6,3.1136053,2,0,2011-02-07
10,11,135.0,0,1,2,2,6,3.1136053,2,0,2011-02-08
11,12,203.0,0,2,2,2,6,3.1136053,3,0,2011-02-09
12,13,213.0,0,3,2,2,6,3.1136053,1,0,2011-02-10
13,14,235.0,0,4,2,2,6,3.1136053,2,0,2011-02-11
14,15,312.0,1,5,2,2,6,3.0870261,2,0,2011-02-12
15,16,553.0,1,6,2,2,6,3.0870261,1,0,2011-02-13
16,17,258.0,0,0,2,2,7,3.0870261,1,1,2011-02-14
17,18,157.0,0,1,3,2,7,3.0870261,2,0,2011-02-15
18,19,168.0,0,2,3,2,7,3.0870261,0,0,2011-02-16
19,20,163.0,0,3,3,2,7,3.0870261,0,0,2011-02-17
20,21,122.0,0,4,3,2,7,3.0870261,0,0,2011-02-18
21,22,179.0,1,5,3,2,7,3.0930824,0,0,2011-02-19
22,23,238.0,1,6,3,2,7,3.0930824,0,0,2011-02-20
23,24,217.0,0,0,3,2,8,3.0930824,0,1,2011-02-21
24,25,144.0,0,1,4,2,8,3.0930824,0,0,2011-02-22
25,26,152.0,0,2,4,2,8,3.0930824,0,0,2011-02-23
26,27,137.0,0,3,4,2,8,3.0930824,0,0,2011-02-24
27,28,128.0,0,4,4,2,8,3.0930824,0,0,2011-02-25
28,29,230.0,1,5,4,2,8,3.0930824,0,0,2011-02-26
29,30,190.0,1,6,4,2,8,3.0930824,0,0,2011-02-27
30,31,108.0,0,0,4,2,9,3.0930824,0,0,2011-02-28
31,32,162.0,0,1,1,3,9,3.0930824,2,0,2011-03-01
32,33,124.0,0,2,1,3,9,3.0930824,2,0,2011-03-02
33,34,114.0,0,3,1,3,9,3.0930824,3,0,2011-03-03
34,35,195.0,0,4,1,3,9,3.0930824,1,0,2011-03-04
35,36,210.0,1,5,1,3,9,3.0838187,3,0,2011-03-05
36,37,231.0,1,6,1,3,9,3.0838187,3,0,2011-03-06
37,38,135.0,0,0,1,3,10,3.0838187,2,0,2011-03-07
38,39,118.0,0,1,2,3,10,3.0838187,2,0,2011-03-08
39,40,140.0,0,2,2,3,10,3.0838187,3,1,2011-03-09
40,41,142.0,0,3,2,3,10,3.0838187,1,0,2011-03-10
41,42,166.0,0,4,2,3,10,3.0838187,2,0,2011-03-11
42,43,175.0,1,5,2,3,10,3.0838187,2,0,2011-03-12
43,44,194.0,1,6,2,3,10,3.0838187,1,0,2011-03-13
44,45,151.0,0,0,2,3,11,3.0838187,1,0,2011-03-14
45,46,147.0,0,1,3,3,11,3.0838187,2,0,2011-03-15
46,47,133.0,0,2,3,3,11,3.0838187,0,1,2011-03-16
47,48,115.0,0,3,3,3,11,3.0838187,0,1,2011-03-17
48,49,181.0,0,4,3,3,11,3.0838187,0,0,2011-03-18
49,50,158.0,1,5,3,3,11,3.0838187,0,0,2011-03-19
50,51,177.0,1,6,3,3,11,3.0838187,0,1,2011-03-20
51,52,149.0,0,0,3,3,12,3.0838187,0,0,2011-03-21
52,53,81.0,0,1,4,3,12,3.0838187,0,0,2011-03-22
53,54,117.0,0,2,4,3,12,3.0838187,0,0,2011-03-23
54,55,124.0,0,3,4,3,12,3.0838187,0,0,2011-03-24
55,56,128.0,0,4,4,3,12,3.0838187,0,0,2011-03-25
56,57,169.0,1,5,4,3,12,3.0583026,0,0,2011-03-26
57,58,169.0,1,6,4,3,12,3.0583026,0,0,2011-03-27
58,59,160.0,0,0,4,3,13,3.0583026,0,0,2011-03-28
59,60,96.0,0,1,5,3,13,3.0583026,0,0,2011-03-29
60,61,101.0,0,2,5,3,13,3.0583026,0,0,2011-03-30
61,62,133.0,0,3,5,3,13,3.0583026,0,0,2011-03-31
62,63,135.0,0,4,1,4,13,3.0583026,2,0,2011-04-01
63,64,161.0,1,5,1,4,13,3.08469,2,0,2011-04-02
